# Graph: "Line Graph in Kratos_Triangle2D3_Mesh_1 ( 3). Step 100"
#
0 1
0.1732049 0.99966621
0.34641027 0.99841326
0.51961517 0.99637306
0.69282055 0.99335629
0.86602545 0.98942739
1.0392306 0.9842059
1.2124355 0.97787631
1.3856406 0.96968383
1.5588458 0.96006095
1.7320509 0.94764376
1.9052558 0.93328071
2.0784609 0.91459692
2.2516661 0.89313525
2.4248712 0.86472899
2.5980761 0.83215952
2.7712812 0.78776038
2.9444864 0.73672187
3.1176915 0.66323477
3.2908964 0.5797835
3.4641018 0.45213008
3.6373067 0.32409415
3.7305043 0.24328239
3.8372364 0.15011597
4 0
6 0
6.1627636 0.017798446
6.269496 0.026986785
6.3626933 0.03434848
6.5358982 0.048465472
6.7091036 0.052364126
6.8823085 0.056249365
7.0555134 0.045624603
7.2287188 0.039690353
7.4019241 0.021363404
7.5751286 0.0070971902
7.7483339 0.022994976
7.9215393 0.035476435
8.0947437 0.066981383
8.2679491 0.084096
8.4411545 0.11701507
8.6143589 0.13611956
8.7875643 0.16964203
8.9607697 0.1897272
9.1339741 0.22320515
9.3071795 0.2436351
9.4803848 0.27661923
9.6535892 0.29700381
9.8267956 0.32937917
10 0.34931719
10.152058 0.37189475
10.164963 0.37369901
10.263668 0.38708493
10.354961 0.40181831
10.369926 0.4037379
10.539824 0.43010291
10.590553 0.43638998
10.723093 0.45576242
10.781054 0.46514288
10.929049 0.4810887
10.952501 0.48408195
11.121002 0.50731742
11.161586 0.5120858
11.310308 0.5319221
11.368837 0.53897059
11.500117 0.55654657
11.579186 0.56552303
11.692979 0.57931972
11.784357 0.58970666
11.884015 0.60206139
11.985445 0.61306
12.069473 0.62268674
12.189608 0.6356076
12.259075 0.64345813
12.394643 0.65709263
12.450316 0.66332722
12.595892 0.67781997
12.636095 0.68184555
12.797268 0.69756836
12.828655 0.70073926
12.991903 0.71613222
13.013602 0.71827328
13.194421 0.73477745
13.21265 0.73644203
13.403303 0.75297958
13.404529 0.75309145
13.532947 0.7641961
13.602906 0.77031296
13.603588 0.7703681
13.793451 0.78734654
13.811753 0.78882587
13.97595 0.80253416
14.004259 0.8046506
14.166916 0.81834978
14.207486 0.82148522
14.36337 0.83298814
14.405777 0.83572602
14.526982 0.84576225
14.608577 0.85187733
14.722592 0.85991287
14.804287 0.8646397
14.88155 0.87110102
15.05532 0.88170797
15.096846 0.88476974
15.270135 0.8957718
15.292464 0.89718294
15.393433 0.90270221
15.486845 0.90963739
15.511438 0.91105556
15.685112 0.92146409
15.713249 0.92314827
15.886751 0.93317419
15.91028 0.93462712
16.089396 0.94483644
16.113094 0.94605273
16.288847 0.95589721
16.313248 0.95713866
16.486752 0.96633732
16.513248 0.96771753
16.68675 0.97673404
16.686752 0.9767341
16.713249 0.97806978
16.886751 0.98679388
16.913248 0.98808783
17.08675 0.99654812
17.086752 0.99654812
17.113249 0.99780315
17.286751 1.006009
17.313248 1.007226
17.486752 1.015187
17.513248 1.016368
17.686752 1.0240954
17.713249 1.0252421
17.886751 1.0327462
17.913248 1.0338602
17.91325 1.0338602
18.086752 1.0411507
18.113249 1.0422337
18.286751 1.049318
18.313248 1.0503716
18.31325 1.0503716
18.486752 1.0572571
18.513248 1.0582854
18.686752 1.0649662
18.713249 1.0659724
18.886751 1.0723457
18.914181 1.0734981
18.998623 1.0762156
19.102074 1.08068
19.136898 1.0820189
19.222715 1.0844878
19.29528 1.0874044
19.320326 1.0882249
19.492397 1.0941684
19.51725 1.0949358
19.660797 1.1003257
19.727293 1.1024706
19.857712 1.106827
19.857714 1.106827
19.931829 1.1090684
20.042856 1.1129563
20.142532 1.1160357
20.238625 1.119094
20.34824 1.1222336
20.420364 1.1246265
20.555544 1.1286241
20.555546 1.1286241
20.607222 1.1302503
20.762512 1.1345255
20.794846 1.1355411
20.977356 1.1404383
20.982983 1.1406027
20.982985 1.1406027
21.08012 1.1432836
21.17412 1.1460375
21.179148 1.1461724
21.365643 1.1515063
21.383867 1.1519578
21.383869 1.1519578
21.553913 1.1568043
21.594585 1.1578535
21.747946 1.1621367
21.747948 1.1621367
21.803131 1.1634704
21.932941 1.1671122
22.01173 1.1690667
22.126526 1.1720638
22.126528 1.1720639
22.221798 1.174278
22.31373 1.1767025
22.313732 1.1767026
22.430241 1.1794472
22.506889 1.1813738
22.641108 1.1843827
22.69557 1.1857418
22.84967 1.1892049
22.888388 1.1901308
23.060987 1.193858
23.078207 1.1942656
23.078209 1.1942656
23.269897 1.1984677
23.270693 1.198485
23.272671 1.1985196
23.272673 1.1985196
23.47361 1.2034725
23.533375 1.2046694
23.533377 1.2046694
23.732491 1.2086375
23.778288 1.2095745
23.829309 1.2104893
23.990971 1.2145123
24.09425 1.216463
24.195498 1.2184334
24.195499 1.2184334
24.295256 1.2200305
24.357319 1.2213222
24.487656 1.2232859
24.487658 1.2232859
24.51128 1.223704
24.675373 1.2264322
24.675375 1.2264323
24.689497 1.226676
24.689499 1.2266761
24.813927 1.2297974
24.813929 1.2297974
25 1.232145
# End
