# Graph: "Line Graph in DATA_ASSIGNMENT5 ( 1). Step 1"
#
0 0
0.0133333 0.0088502346
0.026666701 0.017190356
0.039999999 0.025082994
0.053333301 0.032581165
0.0666667 0.039735951
0.079999998 0.046590328
0.093333296 0.053185314
0.106667 0.059555911
0.12 0.065735146
0.133333 0.071750507
0.146667 0.077629015
0.16 0.083392166
0.173333 0.08905948
0.186667 0.094647467
0.2 0.10017113
0.213333 0.10564148
0.226667 0.11106804
0.23999998 0.11645684
0.253333 0.1218129
0.26666701 0.12713775
0.27999997 0.13242996
0.29333299 0.13768756
0.306667 0.14290312
0.31999999 0.14806874
0.33333296 0.15317303
0.34666699 0.15820009
0.36000001 0.1631341
0.37333301 0.16795269
0.38666701 0.17263207
0.39999998 0.17714396
0.413333 0.1814571
0.42666698 0.18553531
0.44 0.1893384
0.45333296 0.19282316
0.466667 0.19593954
0.47999996 0.19863489
0.49333301 0.20085019
0.50666702 0.20252237
0.51999998 0.20358302
0.533333 0.2039571
0.54666698 0.20356572
0.56 0.202324
0.57333302 0.20014118
0.586667 0.19692162
0.60000002 0.19256385
0.61333299 0.18696159
0.62666702 0.18000382
0.63999999 0.17157656
0.65333301 0.16156065
0.66666698 0.14983757
0.68000001 0.13628827
0.69333303 0.12080075
0.70666701 0.1032792
0.72000003 0.083671495
0.73333299 0.062065046
0.74666703 0.039126039
0.75999999 0.020016639
0.77333301 0.031249464
0.78666699 0.060918935
0.80000001 0.095965639
0.81333297 0.13473138
0.82666701 0.17690012
0.83999997 0.22239596
0.853333 0.27119344
0.86666697 0.32326955
0.88 0.37858421
0.89333302 0.43707174
0.90666699 0.49863452
0.91999996 0.56314254
0.93333298 0.63042545
0.94666696 0.70027804
0.95999998 0.77245617
0.973333 0.84668112
0.98666698 0.92264104
1 1
# End
