# Graph: "Line Graph in Kratos_Triangle2D3_Mesh_1 ( 3). Step 25"
#
0 0
0.02867513 0.017967179
0.031324871 0.019535841
0.048675131 0.029321676
0.05132487 0.030762153
0.068675131 0.039874204
0.07132487 0.041217789
0.088675134 0.049759194
0.091324873 0.051024627
0.10867513 0.059102971
0.11132487 0.060305748
0.12867512 0.068013981
0.13132486 0.069167107
0.14867513 0.076582938
0.15132488 0.07769724
0.16867514 0.084884673
0.17132488 0.085968994
0.18867514 0.09297961
0.19132487 0.094040945
0.20867512 0.10091474
0.21132486 0.10195838
0.22867513 0.10872436
0.23132487 0.10975393
0.24867512 0.1164304
0.25132486 0.11744788
0.26867515 0.12404247
0.27132487 0.12504819
0.2886751 0.13155773
0.29132485 0.13255031
0.30867514 0.13896047
0.31132489 0.13993677
0.32867515 0.14622149
0.33132488 0.1471765
0.34867513 0.15329738
0.35132489 0.15422413
0.36867514 0.16012956
0.37132487 0.16101892
0.38867509 0.1666432
0.39132485 0.16748375
0.40867513 0.172746
0.41132486 0.1735239
0.42867512 0.17832693
0.43132487 0.17902569
0.44867513 0.18325494
0.45132488 0.18385524
0.46867514 0.18737748
0.47132486 0.187857
0.48867512 0.19051918
0.49132487 0.19085245
0.5086751 0.19248061
0.51132488 0.19263875
0.52867508 0.19303709
0.53132486 0.1929878
0.54867512 0.19193788
0.55132484 0.19164525
0.5686751 0.1889057
0.57132488 0.18833023
0.58867514 0.18363677
0.59132487 0.18273535
0.60867512 0.17580196
0.61132485 0.17452809
0.6286751 0.16504937
0.63132489 0.16335316
0.64867514 0.15100594
0.65132487 0.14883432
0.66867512 0.13328233
0.67132485 0.13057968
0.68867511 0.11149347
0.69132483 0.1082132
0.70867515 0.085473284
0.71132487 0.081550568
0.7270993 0.05827634
0.73271179 0.048523791
0.74767625 0.027412798
0.75297886 0.021923354
0.76781678 0.032210927
0.77332574 0.044826239
0.7880795 0.078394726
0.79276872 0.090830907
0.80867511 0.1348888
0.81132483 0.14282039
0.82867509 0.19697618
0.83132482 0.20580754
0.84867513 0.26635021
0.85132492 0.2761113
0.86867511 0.34286943
0.87132484 0.35355213
0.88867509 0.4264352
0.89132488 0.43801802
0.90867519 0.51679194
0.91132492 0.52923226
0.92867517 0.61353409
0.9313249 0.6267674
0.9486751 0.71607602
0.95132482 0.73001963
0.96867514 0.82356066
0.97132492 0.83813232
1 1
# End
