# Graph: "Line Graph in DATA_ASSIGNMENT5 ( 1). Step 1"
#
0 1
0.057079792 1.063476
0.11386013 0.97971803
0.17035007 1.005914
0.22654009 0.99731809
0.28246021 0.99955314
0.33810997 0.99826115
0.39348984 0.9979682
0.44861984 0.99725026
0.50351 0.9965533
0.55815983 0.99573642
0.61256981 0.99484247
0.66676998 0.99385452
0.72075987 0.99277568
0.77453995 0.99160177
0.82812023 0.99033082
0.88151979 0.98895895
0.93474007 0.98748213
0.98779011 0.98589724
1.0406699 0.9841994
1.09341 0.98238456
1.1459899 0.98044777
1.1984401 0.97838199
1.2507601 0.97618216
1.3029599 0.97384137
1.3550401 0.9713527
1.4070301 0.96870893
1.45891 0.96590024
1.51071 0.96291959
1.5624299 0.95975596
1.61408 0.95639932
1.6656599 0.95283878
1.7172 0.94906127
1.7686801 0.9450537
1.8201301 0.94080234
1.8715501 0.93629205
1.92295 0.93150467
1.97434 0.92642295
2.0257199 0.92102683
2.0771 0.91529429
2.1285 0.90920234
2.17992 0.90272498
2.23137 0.89583379
2.28286 0.88849771
2.3343899 0.8806833
2.3859799 0.8723526
2.4376299 0.86346513
2.4893401 0.8539744
2.5411401 0.84383094
2.59303 0.83297884
2.64501 0.8213551
2.6970999 0.80889082
2.7493 0.79550803
2.80162 0.78111982
2.8540599 0.76562941
2.9066501 0.74892479
2.9593799 0.73088217
3.01227 0.71136087
3.06531 0.69020206
3.11853 0.66722453
3.1719298 0.64222485
3.2255201 0.6149739
3.2793 0.58521748
3.3332801 0.55267644
3.38748 0.51705331
3.4419 0.47804704
3.4965501 0.43537721
3.55143 0.3888343
3.60656 0.33835441
3.6619501 0.28414521
3.7175899 0.22688264
3.77351 0.16800207
3.82971 0.11012885
3.8861899 0.057690486
3.94297 0.017745186
4.0000548 0
5.9999447 0
6.0570297 0.0025618074
6.1138101 0.0081257895
6.17029 0.015173211
6.22649 0.022681631
6.2824101 0.030031078
6.3380499 0.036859438
6.3934402 0.042961881
6.4485703 0.048236616
6.5034499 0.052645914
6.5580997 0.056188039
6.6125202 0.05888734
6.6667199 0.060782664
6.7207003 0.06191691
6.7744799 0.062339518
6.8280702 0.062098466
6.8814697 0.061241277
6.93469 0.059813499
6.98773 0.057857275
7.0406199 0.055414319
7.0933499 0.052520908
7.1459398 0.049212039
7.19838 0.045519926
7.2507 0.041476637
7.3029003 0.037108421
7.35499 0.032443758
7.40697 0.027511079
7.4588599 0.022341963
7.5106602 0.016981948
7.5623703 0.011527197
7.6140203 0.006364868
7.6656098 0.0043226248
7.7171402 0.0086189648
7.76863 0.0146213
7.8200798 0.021052137
7.8715 0.027714131
7.9229002 0.034549624
7.9742804 0.041530438
8.0256596 0.048640475
8.0770502 0.055866916
8.1284504 0.063200384
8.1798697 0.070631891
8.2313194 0.078155011
8.2827997 0.085762598
8.3343401 0.093448266
8.3859196 0.10120708
8.4375706 0.10903385
8.4892902 0.11692443
8.54109 0.12487319
8.5929699 0.13287748
8.6449604 0.14093226
8.6970406 0.14903496
8.7492399 0.15718198
8.8015594 0.16536984
8.8540096 0.17359644
8.9065895 0.18185881
8.9593296 0.19015341
9.0122099 0.19847867
9.0652599 0.20683262
9.1184807 0.21521276
9.1718798 0.22361752
9.2254601 0.23204345
9.2792397 0.24048994
9.33323 0.24895561
9.3874302 0.25743836
9.4418402 0.26593626
9.4964905 0.27444768
9.5513802 0.28297275
9.6065102 0.2915079
9.66189 0.30005312
9.7175398 0.3086074
9.7734604 0.31716877
9.8296499 0.32573521
9.8861399 0.33430874
9.9429207 0.34288079
10 0.35147238
10.2 0.38084292
10.4 0.4096126
10.6 0.43770105
10.8 0.46508557
11 0.49173886
11.2 0.51764667
11.4 0.54279852
11.6 0.56719267
11.8 0.59083056
12 0.61371851
12.2 0.63586456
12.4 0.65728211
12.6 0.67798454
12.8 0.69798839
13 0.7173115
13.2 0.73597145
13.4 0.7539897
13.6 0.7713846
13.8 0.78817725
14 0.80438805
14.2 0.8200376
14.4 0.83514774
14.6 0.84973747
14.8 0.86382782
15 0.8774389
15.2 0.89058948
15.4 0.90329862
15.6 0.9155854
15.8 0.92746675
16 0.93896109
16.200001 0.95008403
16.4 0.96085203
16.6 0.97128105
16.799999 0.98138559
17 0.99118018
17.200001 1.0006778
17.4 1.0098932
17.6 1.0188367
17.799999 1.0275215
18 1.0359592
18.200001 1.0441594
18.4 1.0521338
18.6 1.059891
18.799999 1.0674415
19 1.0747927
19.200001 1.081954
19.4 1.0889335
19.6 1.0957384
19.799999 1.1023753
20 1.1088517
20.200001 1.1151735
20.4 1.1213479
20.6 1.1273793
20.799999 1.1332742
21 1.1390381
21.200001 1.1446745
21.4 1.1501899
21.6 1.1555874
21.799999 1.1608723
22 1.1660483
22.200001 1.1711187
22.4 1.1760886
22.6 1.1809607
22.799999 1.1857386
23 1.1904244
23.200001 1.1950234
23.4 1.1995364
23.6 1.2039684
23.799999 1.2083204
24 1.2125947
24.200001 1.2167953
24.4 1.2209227
24.6 1.2249768
24.799999 1.2290146
25 1.2321596
# End
